Project,Bug,Patch,TSSeed,NumberOfTests,NumberOfFailingTests
Chart,1,chart1_20_2_seed1_StmtReplace_602_154.patch,10,77,1
Chart,1,chart1_20_2_seed2_StmtDelete_601.patch,1,88,1
Chart,1,chart1_20_2_seed2_StmtDelete_601.patch,2,85,0
Chart,1,chart1_20_2_seed2_StmtDelete_601.patch,3,73,0
Chart,1,chart1_20_2_seed2_StmtDelete_601.patch,4,82,1
Chart,1,chart1_20_2_seed2_StmtDelete_601.patch,5,76,0
Chart,1,chart1_20_2_seed2_StmtDelete_601.patch,6,83,1
Chart,1,chart1_20_2_seed2_StmtDelete_601.patch,7,82,0
Chart,1,chart1_20_2_seed2_StmtDelete_601.patch,8,69,1
Chart,1,chart1_20_2_seed2_StmtDelete_601.patch,9,79,1
